ID,latitude,longitude,suburb,municipality
0,-37.8203,144.99016,Richmond,City of Yarra
1,-37.76606,144.97951,Brunswick East,City of Merri-bek
2,-37.90546,145.39447,Menzies Creek,Shire of Yarra Ranges
3,-37.82163,144.96672,Southbank,City of Melbourne
4,-38.05725,145.33936,Berwick,City of Casey
5,-37.91952,145.13111,Clayton,City of Monash
6,-37.86811,144.98132,St Kilda,City of Port Phillip
7,-37.81011,144.97036,Melbourne,City of Melbourne
8,-37.78374,144.75729,Derrimut,City of Brimbank
9,-37.8996,145.11447,Oakleigh East,City of Monash
10,-38.14932,145.14157,Frankston,City of Frankston
11,-37.83156,144.97064,Melbourne,City of Port Phillip
12,-37.91590601,145.0029953,Brighton,City of Bayside
13,-37.99592,145.0959,Mordialloc,City of Kingston
14,-37.80614,144.99488,Abbotsford,City of Yarra
15,-37.80087,144.98193,Fitzroy,City of Yarra
16,-37.81362,144.98665,East Melbourne,City of Melbourne
17,-37.79784,144.9455,North Melbourne,City of Melbourne
18,-37.95697,145.0561,Cheltenham,City of Kingston
19,-37.81266,144.96313,Melbourne,City of Melbourne
20,-37.78374,144.75728,Derrimut,City of Brimbank
21,-37.70789,145.10227,Greensborough,City of Banyule
22,-37.83978,145.1774,Forest Hill,City of Whitehorse
23,-37.82964,144.87163,South Kingsville,City of Hobsons Bay
24,-37.97205,145.04811,Cheltenham,City of Bayside
25,-37.80313,144.98553,Collingwood,City of Yarra
26,-37.80347,145.03583,Kew,City of Boroondara
27,-37.78975,145.00469,Clifton Hill,City of Yarra
28,-37.85996,145.02119,Armadale,City of Stonnington
29,-38.14931,145.1419,Frankston,City of Frankston
30,-37.86624,144.98286,St Kilda,City of Port Phillip
31,-37.85662,144.98615,St Kilda,City of Port Phillip
32,-37.86226,144.99778,St Kilda East,City of Port Phillip
33,-37.78302,145.00763,Northcote,City of Darebin
34,-37.64839,145.53486,Healesville,Shire of Yarra Ranges
35,-37.80415,144.97803,Fitzroy,City of Yarra
36,-37.76925,144.95275,Brunswick,City of Merri-bek
37,-37.85162,144.98943,Prahran,City of Stonnington
38,-37.87142,145.00785,St Kilda East,City of Glen Eira
39,-37.86433,144.97788,St Kilda,City of Port Phillip
40,-37.93189,145.43971,Emerald,Shire of Cardinia
41,-37.83392,144.95889,South Melbourne,City of Port Phillip
42,-37.78358,144.99885,Northcote,City of Darebin
43,-37.83196,144.96959,South Melbourne,City of Port Phillip
44,-37.81595,144.96606,Melbourne,City of Melbourne
45,-37.84707,144.98576,Prahran,City of Stonnington
46,-37.835,144.96252,South Melbourne,City of Port Phillip
47,-37.83363,144.99019,South Yarra,City of Stonnington
48,-37.80542,144.96642,Carlton,City of Melbourne
49,-37.99031,145.07744,Parkdale,City of Kingston
50,-37.84298,144.94148,Port Melbourne,City of Port Phillip
51,-37.79318,145.0789,Balwyn North,City of Boroondara
52,-37.90605,145.35069,Belgrave,Shire of Yarra Ranges
53,-37.81654,144.89004,Yarraville,City of Maribyrnong
54,-37.84318,144.94016,Port Melbourne,City of Port Phillip
55,-37.80691,144.89897,Seddon,City of Maribyrnong
56,-37.63282,145.49766,Chum Creek,Shire of Yarra Ranges
57,-37.90042,144.72496,Point Cook,City of Wyndham
58,-37.75773,145.03833,Ivanhoe,City of Banyule
59,-37.89702,145.00617,Gardenvale,City of Glen Eira
60,-37.81788,145.00865,Richmond,City of Yarra
61,-37.76434,144.98624,Northcote,City of Darebin
62,-37.88759,144.98651,Elwood,City of Port Phillip
63,-37.82721,144.95559,Southbank,City of Melbourne
64,-37.90925,144.98976,Brighton,City of Bayside
65,-37.86717,145.02877,Caulfield North,City of Glen Eira
66,-37.78773,145.00169,Clifton Hill,City of Yarra
67,-37.8317,145.04922,Hawthorn East,City of Boroondara
68,-37.78438,145.16477,Doncaster East,City of Manningham
69,-37.95301,145.01149,Sandringham,City of Bayside
70,-37.87032,144.99627,Balaclava,City of Port Phillip
71,-37.80759,144.97821,Fitzroy,City of Yarra
72,-37.90514,145.35261,Belgrave,Shire of Yarra Ranges
73,-37.74209,145.06541,Rosanna,City of Banyule
74,-37.84350204,144.9759827,Melbourne,City of Port Phillip
75,-37.88091,145.51647,Macclesfield,Shire of Yarra Ranges
76,-37.87972641,145.5159607,Macclesfield,Shire of Yarra Ranges
77,-37.89963,144.72637,Point Cook,City of Wyndham
78,-37.76158,144.97089,Brunswick,City of Merri-bek
79,-37.80455,144.95113,North Melbourne,City of Melbourne
80,-37.94771,145.00322,Sandringham,City of Bayside
81,-37.94771,145.00322,Sandringham,City of Bayside
82,-37.80428,144.97916,Fitzroy,City of Yarra
83,-37.8433,145.13555,Blackburn South,City of Whitehorse
84,-37.90741,145.34919,Belgrave,Shire of Yarra Ranges
85,-37.81663513,144.9775238,East Melbourne,City of Melbourne
86,-37.79349,145.0808,Balwyn North,City of Boroondara
87,-37.7937,145.07935,Balwyn North,City of Boroondara
88,-37.79352,145.0794,Balwyn North,City of Boroondara
89,-37.86543,145.01735,Caulfield North,City of Glen Eira
90,-37.88935,145.00411,Elsternwick,City of Glen Eira
91,-37.77088,144.97016,Brunswick,City of Merri-bek
92,-37.87686,144.97723,Elwood,City of Port Phillip
93,-37.83931,145.17783,Forest Hill,City of Whitehorse
94,-37.83699,144.99735,South Yarra,City of Stonnington
95,-37.80705,144.96916,Fitzroy,City of Yarra
96,-37.84744,144.9914,Prahran,City of Stonnington
97,-37.86535,144.99658,St Kilda East,City of Port Phillip
98,-37.91997,145.33043,Upwey,Shire of Yarra Ranges
99,-37.83958,144.99365,South Yarra,City of Stonnington
100,-37.80237,144.9835,Fitzroy,City of Yarra
101,-37.8169,144.96057,Melbourne,City of Melbourne
102,-37.83663,144.99344,South Yarra,City of Stonnington
103,-37.9056,145.39525,Menzies Creek,Shire of Yarra Ranges
104,-37.86939,144.81845,Altona,City of Hobsons Bay
105,-37.76653,144.9926,Northcote,City of Darebin
106,-38.19004,145.20658,Langwarrin South,City of Frankston
107,-37.81745,144.96457,Melbourne,City of Melbourne
108,-37.84972,144.9798,Melbourne,City of Port Phillip
109,-37.83481,145.03514,Hawthorn,City of Boroondara
110,-37.63358,145.51155,Healesville,Shire of Yarra Ranges
111,-37.8473,144.99358,Prahran,City of Stonnington
112,-37.80209,144.98813,Collingwood,City of Yarra
113,-37.8221,144.99922,Richmond,City of Yarra
114,-37.91904,145.33242,Upwey,Shire of Yarra Ranges
115,-37.63367,145.51249,Healesville,Shire of Yarra Ranges
116,-37.63318,145.51237,Healesville,Shire of Yarra Ranges
117,-37.87468,144.98824,Elwood,City of Port Phillip
118,-37.81496,144.96699,Melbourne,City of Melbourne
119,-37.88353,145.36279,Sherbrooke,Shire of Yarra Ranges
120,-37.88388,145.36184,Sherbrooke,Shire of Yarra Ranges
121,-37.86515,144.99455,St Kilda East,City of Port Phillip
122,-37.84158,144.93794,Port Melbourne,City of Port Phillip
123,-37.84125316,144.9996752,South Yarra,City of Stonnington
124,-37.84168,144.94397,Port Melbourne,City of Port Phillip
125,-37.80055,144.9765,Fitzroy,City of Yarra
126,-37.77542,144.96894,Brunswick,City of Merri-bek
127,-37.7698,144.96268,Brunswick,City of Merri-bek
128,-37.81806,144.95931,Melbourne,City of Melbourne
129,-37.89329,145.08205,Hughesdale,City of Monash
130,-37.8369,144.99293,South Yarra,City of Stonnington
131,-37.86365,144.97549,St Kilda,City of Port Phillip
132,-37.85947,144.98093,St Kilda,City of Port Phillip
133,-37.81672,144.96539,Melbourne,City of Melbourne
134,-37.85978,145.02279,Armadale,City of Stonnington
135,-37.85981,145.02254,Armadale,City of Stonnington
136,-37.865,144.99979,St Kilda East,City of Port Phillip
137,-37.82165,144.9654,Southbank,City of Melbourne
138,-37.83749,144.94102,Port Melbourne,City of Port Phillip
139,-37.86602,144.98287,St Kilda,City of Port Phillip
140,-37.8568,145.00065,Windsor,City of Stonnington
141,-37.86928,144.99792,Balaclava,City of Port Phillip
142,-37.83705,144.99272,South Yarra,City of Stonnington
143,-37.83643,145.05203,Hawthorn East,City of Boroondara
144,-37.80543,144.96925,Carlton,City of Melbourne
145,-37.8167,144.96608,Melbourne,City of Melbourne
146,-37.87988,144.98872,Elwood,City of Port Phillip
147,-37.8145,144.95664,Melbourne,City of Melbourne
148,-37.83368,144.9843,South Yarra,City of Melbourne
149,-37.78715,144.94111,Parkville,City of Melbourne
150,-37.87135,144.81258,Altona,City of Hobsons Bay
151,-37.85835,145.26078,Boronia,City of Knox
152,-37.70476,145.14276,Eltham North,Shire of Nillumbik
153,-37.81422,144.95555,Melbourne,City of Melbourne
154,-37.83888,144.99477,South Yarra,City of Stonnington
155,-37.8068,144.96943,Fitzroy,City of Yarra
156,-37.82084,144.96643,Southbank,City of Melbourne
157,-37.813,144.9612,Melbourne,City of Melbourne
158,-37.84166,144.9977,South Yarra,City of Stonnington
159,-37.83339,144.96803,South Melbourne,City of Port Phillip
160,-37.80886,144.98457,Collingwood,City of Yarra
161,-37.80596,144.95577,West Melbourne,City of Melbourne
162,-37.80667,144.9671,Carlton,City of Melbourne
163,-37.80257,144.89593,Footscray,City of Maribyrnong
164,-37.83649,144.99393,South Yarra,City of Stonnington
165,-37.75581,144.96868,Coburg,City of Merri-bek
166,-37.82409,144.9635,Southbank,City of Melbourne
167,-37.77756,144.96076,Brunswick,City of Merri-bek
168,-37.82439,144.99129,Richmond,City of Yarra
169,-37.83706,144.9966,South Yarra,City of Stonnington
170,-37.86645,144.982,St Kilda,City of Port Phillip
171,-37.74898,144.96312,Coburg,City of Merri-bek
172,-37.783672,145.024658,Alphington,City of Yarra
173,-37.79906,144.99975,Abbotsford,City of Yarra
174,-37.77488,144.99222,Northcote,City of Darebin
175,-37.84164,144.99768,South Yarra,City of Stonnington
176,-37.77628,144.96776,Brunswick,City of Merri-bek
177,-37.80584,144.8983,Footscray,City of Maribyrnong
178,-37.88348,145.15178,Glen Waverley,City of Monash
179,-37.841297,144.939529,Port Melbourne,City of Port Phillip
180,-37.84767,145.15171,Blackburn South,City of Whitehorse
181,-37.80818,144.96429,Melbourne,City of Melbourne
182,-37.89613,145.01357,Caulfield South,City of Glen Eira
183,-37.92178,145.03597,Bentleigh,City of Glen Eira
184,-37.83699,144.99735,South Yarra,City of Stonnington
185,-37.77562,145.021,Fairfield,City of Darebin
186,-37.87975,144.98304,Elwood,City of Port Phillip
187,-37.83888,144.99477,South Yarra,City of Stonnington
188,-37.79766,144.98191,Fitzroy,City of Yarra
189,-37.80808,144.96617,Melbourne,City of Melbourne
190,-37.810349,144.971649,Melbourne,City of Melbourne
191,-37.75633,145.06297,Heidelberg,City of Banyule
192,-37.81776,144.96565,Melbourne,City of Melbourne
193,-37.7199,144.85913,Keilor Park,City of Brimbank
194,-37.76616,144.88986,Maribyrnong,City of Maribyrnong
195,-37.82514,144.96295,Southbank,City of Melbourne
196,-37.81657,144.95325,Melbourne,City of Melbourne
197,-37.84842,145.1534,Burwood East,City of Whitehorse
198,-37.86166,144.97457,St Kilda,City of Port Phillip
199,-37.83656,144.98407,South Yarra,City of Melbourne
200,-37.88115,144.98964,Elwood,City of Port Phillip
201,-37.8141,144.98554,East Melbourne,City of Melbourne
202,-37.79619,144.9684,Carlton,City of Melbourne
203,-37.80535,144.97934,Fitzroy,City of Yarra
204,-37.75575,145.69741,Warburton,Shire of Yarra Ranges
205,-37.80745,144.98006,Fitzroy,City of Yarra
206,-37.81616,144.95189,Docklands,City of Melbourne
207,-37.80726,144.98614,Collingwood,City of Yarra
208,-37.8376,144.95967,South Melbourne,City of Port Phillip
209,-37.93379,145.2414,Rowville,City of Knox
210,-37.87132,144.82288,Altona,City of Hobsons Bay
211,-37.85131,145.36311,Olinda,Shire of Yarra Ranges
212,-37.86177,144.98146,St Kilda,City of Port Phillip
213,-37.80322,144.98433,Collingwood,City of Yarra
214,-37.8093,144.95981,Melbourne,City of Melbourne
215,-37.85496,144.98151,Melbourne,City of Port Phillip
216,-37.81583,144.96628,Melbourne,City of Melbourne
217,-37.81021,144.96405,Melbourne,City of Melbourne
218,-37.86839,145.16332,Glen Waverley,City of Monash
219,-37.80353,144.98583,Collingwood,City of Yarra
220,-37.83572,144.98206,South Yarra,City of Melbourne
221,-37.83296,144.96932,South Melbourne,City of Port Phillip
222,-37.84759,144.98985,Prahran,City of Stonnington
223,-37.7952,144.96822,Carlton,City of Melbourne
224,-37.8073,144.97738,Fitzroy,City of Yarra
225,-37.65658,145.52769,Healesville,Shire of Yarra Ranges
226,-37.79278,144.97724,Fitzroy North,City of Yarra
227,-37.79804,145.22272,Ringwood North,City of Maroondah
228,-37.81616,144.98451,East Melbourne,City of Melbourne
229,-37.89298,144.66624,Werribee,City of Wyndham
230,-37.87888,145.17074,Glen Waverley,City of Monash
231,-37.88055,145.17286,Glen Waverley,City of Monash
232,-37.83618,144.9738,Melbourne,City of Port Phillip
233,-37.85824,144.96933,St Kilda West,City of Port Phillip
234,-37.85242,145.01032,Prahran,City of Stonnington
235,-37.82007,145.00263,Richmond,City of Yarra
236,-37.77549,144.94862,Brunswick West,City of Merri-bek
237,-37.75373,145.00409,Thornbury,City of Darebin
238,-37.68514,145.56184,Badger Creek,Shire of Yarra Ranges
239,-37.84875,145.00185,Prahran,City of Stonnington
240,-37.86422,145.31721,The Basin,City of Knox
241,-37.79117,144.92976,Kensington,City of Melbourne
242,-37.60629,145.43602,Dixons Creek,Shire of Yarra Ranges
243,-37.80696,144.90193,Footscray,City of Maribyrnong
244,-37.88136,144.98076,Elwood,City of Port Phillip
245,-37.80705,145.03611,Kew,City of Boroondara
246,-37.82443,144.96031,Southbank,City of Melbourne
247,-37.81813,145.36665,Kalorama,Shire of Yarra Ranges
248,-37.81941,145.36484,Kalorama,Shire of Yarra Ranges
249,-37.78374,144.75728,Derrimut,City of Brimbank
250,-37.81651,144.96541,Melbourne,City of Melbourne
251,-37.87207,144.97358,St Kilda,City of Port Phillip
252,-37.84213,145.01142,Toorak,City of Stonnington
253,-37.87792,145.01387,Caulfield North,City of Glen Eira
254,-37.81604,144.97783,East Melbourne,City of Melbourne
255,-37.79117,144.98925,Clifton Hill,City of Yarra
256,-37.6586,145.18972,Wattle Glen,Shire of Nillumbik
257,-37.8136,144.98676,East Melbourne,City of Melbourne
258,-37.86699,145.02729,Caulfield North,City of Glen Eira
259,-37.83011,144.95875,Southbank,City of Port Phillip
260,-37.85683,144.96707,St Kilda West,City of Port Phillip
261,-37.8017,144.96707,Carlton,City of Melbourne
262,-38.18977,145.2091,Langwarrin South,City of Frankston
263,-37.84169,144.99776,South Yarra,City of Stonnington
264,-37.8137,144.97324,Melbourne,City of Melbourne
265,-37.72869,145.13668,Eltham,Shire of Nillumbik
266,-37.80113,144.9785,Fitzroy,City of Yarra
267,-37.85985,144.9751,St Kilda West,City of Port Phillip
268,-37.82016,145.00261,Richmond,City of Yarra
269,-37.81515,144.95271,Melbourne,City of Melbourne
270,-37.86196,145.35951,Sassafras,Shire of Yarra Ranges
271,-37.86522,144.89408,Williamstown,City of Hobsons Bay
272,-37.86823,144.98024,St Kilda,City of Port Phillip
273,-37.8433,144.9583,Albert Park,City of Port Phillip
274,-37.80369,145.64636,Yarra Junction,Shire of Yarra Ranges
275,-37.77964,145.00806,Northcote,City of Darebin
276,-37.96726,144.70589,Werribee South,City of Wyndham
277,-37.87075,144.97692,St Kilda,City of Port Phillip
278,-37.77546,144.99077,Northcote,City of Darebin
279,-37.70359,145.53005,Badger Creek,Shire of Yarra Ranges
280,-37.7933,144.97955,Fitzroy North,City of Yarra
281,-37.76653,145.6723,Warburton,Shire of Yarra Ranges
282,-37.80504,145.21686,Ringwood North,City of Maroondah
283,-37.83705,144.99456,South Yarra,City of Stonnington
284,-37.8247,144.96166,Southbank,City of Melbourne
285,-37.85391,144.98142,Melbourne,City of Port Phillip
286,-37.81923,145.14731,Blackburn,City of Whitehorse
287,-37.81534,144.96564,Melbourne,City of Melbourne
288,-38.01852,145.42082,Beaconsfield Upper,Shire of Cardinia
289,-37.77965,144.98844,Fitzroy North,City of Yarra
290,-37.83803,144.99813,South Yarra,City of Stonnington
291,-37.75742,145.25131,Warrandyte South,City of Manningham
292,-37.86062,144.97405,St Kilda West,City of Port Phillip
293,-37.86625,144.90828,Williamstown,City of Hobsons Bay
294,-37.81414,144.98763,East Melbourne,City of Melbourne
295,-37.82998,144.96678,Southbank,City of Melbourne
296,-37.83312,144.98978,South Yarra,City of Stonnington
297,-37.81176,145.01346,Abbotsford,City of Yarra
298,-37.85359,144.9692,Middle Park,City of Port Phillip
299,-37.93222,145.44446,Emerald,Shire of Cardinia
300,-37.87999,144.98016,Elwood,City of Port Phillip
301,-37.80284,144.991,Collingwood,City of Yarra
302,-37.83796,144.99408,South Yarra,City of Stonnington
303,-37.8722,144.99637,Balaclava,City of Port Phillip
304,-37.83262,144.95665,South Melbourne,City of Port Phillip
305,-37.81464,144.9682,Melbourne,City of Melbourne
306,-37.82444,145.23127,Ringwood,City of Maroondah
307,-38.16125,145.11317,Frankston South,City of Frankston
308,-37.79853,144.99854,Abbotsford,City of Yarra
309,-37.85598,145.138,Burwood East,City of Whitehorse
310,-37.81581,144.96666,Melbourne,City of Melbourne
311,-37.86237,144.98835,St Kilda,City of Port Phillip
312,-37.8372,144.99751,South Yarra,City of Stonnington
313,-37.85119,145.36252,Olinda,Shire of Yarra Ranges
314,-37.75841,144.95131,Brunswick,City of Merri-bek
315,-37.81022,144.96627,Melbourne,City of Melbourne
316,-37.81901,144.9548,Melbourne,City of Melbourne
317,-37.7685,144.96817,Brunswick,City of Merri-bek
318,-37.83648,144.99379,South Yarra,City of Stonnington
319,-37.8824,144.98033,Elwood,City of Port Phillip
320,-37.6916,144.89477,Gladstone Park,City of Hume
321,-37.67881,145.53708,Badger Creek,Shire of Yarra Ranges
322,-37.82338,144.99294,Richmond,City of Yarra
323,-37.79472,144.96553,Carlton,City of Melbourne
324,-37.78342,144.98985,Fitzroy North,City of Yarra
325,-37.83805,144.91597,Port Melbourne,City of Port Phillip
326,-37.79927,144.9925,Collingwood,City of Yarra
327,-37.78864,144.99335,Clifton Hill,City of Yarra
328,-37.79215,144.97841,Fitzroy North,City of Yarra
329,-37.72267,144.95971,Coburg North,City of Merri-bek
330,-37.874,144.99918,St Kilda East,City of Glen Eira
331,-37.6615,145.5092,Healesville,Shire of Yarra Ranges
332,-37.66259,145.52888,Healesville,Shire of Yarra Ranges
333,-37.82741,145.31326,Kilsyth South,City of Maroondah
334,-37.59352,144.6764,Diggers Rest,City of Melton
335,-37.82051,144.95615,Melbourne,City of Melbourne
336,-37.77994,144.96404,Princes Hill,City of Yarra
337,-37.85692,145.00955,Prahran,City of Stonnington
338,-37.81469,144.94128,Docklands,City of Melbourne
339,-37.78195,145.00261,Northcote,City of Darebin
340,-37.91962,145.00294,Brighton,City of Bayside
341,-37.58626,145.51279,Toolangi,Shire of Yarra Ranges
342,-37.82592,145.14636,Blackburn,City of Whitehorse
343,-37.85919,145.09944,Burwood,City of Monash
344,-37.84069,145.00037,South Yarra,City of Stonnington
345,-37.77414,144.91253,Ascot Vale,City of Moonee Valley
346,-37.81563,144.99564,Richmond,City of Yarra
347,-37.59102,145.51548,Toolangi,Shire of Yarra Ranges
348,-37.8951,145.01485,Caulfield South,City of Glen Eira
349,-37.79927,144.94687,North Melbourne,City of Melbourne
350,-37.81194,144.96212,Melbourne,City of Melbourne
351,-37.82511,145.14631,Blackburn,City of Whitehorse
352,-37.81562,144.96549,Melbourne,City of Melbourne
353,-37.79634,144.96669,Carlton,City of Melbourne
354,-37.81546,144.95979,Melbourne,City of Melbourne
355,-37.8144,144.9413,Docklands,City of Melbourne
356,-37.86092,144.98036,St Kilda,City of Port Phillip
357,-37.81501,144.96076,Melbourne,City of Melbourne
358,-37.87645,144.98022,Elwood,City of Port Phillip
359,-37.86646,144.97392,St Kilda,City of Port Phillip
360,-37.84689,144.99385,Prahran,City of Stonnington
361,-37.83102,145.51784,Yellingbo,Shire of Yarra Ranges
362,-37.86145,144.98634,St Kilda,City of Port Phillip
363,-37.82228,145.00857,Richmond,City of Yarra
364,-37.82987,145.06143,Camberwell,City of Boroondara
365,-37.59893,145.43902,Dixons Creek,Shire of Yarra Ranges
366,-37.83684921,144.9996033,South Yarra,City of Stonnington
367,-37.7805,144.88338,Maidstone,City of Maribyrnong
368,-37.85633,144.89544,Williamstown,City of Hobsons Bay
369,-37.81602,144.9569,Melbourne,City of Melbourne
370,-37.86149,145.35979,Sassafras,Shire of Yarra Ranges
371,-37.87114,144.98234,St Kilda,City of Port Phillip
372,-37.82806,144.9678,Southbank,City of Melbourne
373,-37.85416,145.36444,Olinda,Shire of Yarra Ranges
374,-37.8951,145.01485,Caulfield South,City of Glen Eira
375,-37.7542,145.65782,Millgrove,Shire of Yarra Ranges
376,-37.80986,144.95638,Melbourne,City of Melbourne
377,-37.81608,145.63479,Yarra Junction,Shire of Yarra Ranges
378,-37.85378,145.36288,Olinda,Shire of Yarra Ranges
379,-37.62679,145.51752,Healesville,Shire of Yarra Ranges
380,-37.98434,145.17114,Keysborough,City of Greater Dandenong
381,-37.64988,145.53466,Healesville,Shire of Yarra Ranges
382,-37.7554,144.99449,Thornbury,City of Darebin
383,-37.84275,145.00925,Toorak,City of Stonnington
384,-37.83443,144.96872,South Melbourne,City of Port Phillip
385,-37.92648,145.0803,Bentleigh East,City of Glen Eira
386,-37.82948,144.96931,Southbank,City of Melbourne
387,-37.81235,144.93912,Docklands,City of Melbourne
388,-37.77714,144.9681,Brunswick,City of Merri-bek
389,-37.81513,144.96993,Melbourne,City of Melbourne
390,-37.75809,145.68852,Warburton,Shire of Yarra Ranges
391,-37.8757,144.97996,Elwood,City of Port Phillip
392,-37.77875,144.97896,Fitzroy North,City of Yarra
393,-37.9168,145.01834,Brighton East,City of Bayside
394,-37.85401,145.36474,Olinda,Shire of Yarra Ranges
395,-37.84801,144.68609,Tarneit,City of Wyndham
396,-37.80083,145.00009,Abbotsford,City of Yarra
397,-37.81458,144.94485,Docklands,City of Melbourne
398,-37.85281,144.99045,Windsor,City of Stonnington
399,-37.81774,144.99465,Richmond,City of Yarra
400,-37.62827,145.50252,Chum Creek,Shire of Yarra Ranges
401,-37.96846,145.058,Cheltenham,City of Kingston
402,-37.86253,144.97957,St Kilda,City of Port Phillip
403,-37.86735,144.97775,St Kilda,City of Port Phillip
404,-37.8708,144.97643,St Kilda,City of Port Phillip
405,-37.80141,144.9836,Fitzroy,City of Yarra
406,-37.82479,144.9662,Southbank,City of Melbourne
407,-37.80551,144.96806,Carlton,City of Melbourne
408,-37.81464,144.95331,Melbourne,City of Melbourne
409,-37.87276,145.01939,Caulfield North,City of Glen Eira
410,-37.8472,144.68602,Tarneit,City of Wyndham
411,-37.91878,145.13143,Clayton,City of Monash
412,-37.89298,144.66776,Werribee,City of Wyndham
413,-37.79383,144.96634,Carlton,City of Melbourne
414,-37.85892,144.9799,St Kilda,City of Port Phillip
415,-37.7671,144.96011,Brunswick,City of Merri-bek
416,-37.75291,145.06646,Heidelberg,City of Banyule
417,-37.85519,145.36474,Olinda,Shire of Yarra Ranges
418,-37.85518,145.36469,Olinda,Shire of Yarra Ranges
419,-37.8161,145.00423,Richmond,City of Yarra
420,-37.84275,144.93797,Port Melbourne,City of Port Phillip
421,-38.16861,145.11223,Frankston South,City of Frankston
422,-37.79354,144.94232,North Melbourne,City of Melbourne
423,-37.81872,144.99039,Richmond,City of Yarra
424,-37.81097,144.96725,Melbourne,City of Melbourne
425,-37.82196,144.9637,Southbank,City of Melbourne
426,-37.85553,144.97476,St Kilda,City of Port Phillip
427,-37.73273,144.91879,Strathmore,City of Moonee Valley
428,-37.84478,144.94267,Port Melbourne,City of Port Phillip
429,-37.82296,144.96106,Southbank,City of Melbourne
430,-37.8138,144.97225,Melbourne,City of Melbourne
431,-37.86041,144.97401,St Kilda West,City of Port Phillip
432,-37.65479,145.51827,Healesville,Shire of Yarra Ranges
433,-37.80511,144.95606,North Melbourne,City of Melbourne
434,-37.869,144.97533,St Kilda,City of Port Phillip
435,-37.75719,144.95088,Brunswick West,City of Merri-bek
436,-37.81594,144.89636,Yarraville,City of Maribyrnong
437,-37.8022191,144.9522964,North Melbourne,City of Melbourne
438,-37.86217,144.98158,St Kilda,City of Port Phillip
439,-37.84086,144.99306,South Yarra,City of Stonnington
440,-37.86072,144.97623,St Kilda,City of Port Phillip
441,-37.77123,145.0071,Northcote,City of Darebin
442,-37.84131,144.97658,Melbourne,City of Port Phillip
443,-37.85668,145.00339,Prahran,City of Stonnington
444,-37.79747,144.96826,Carlton,City of Melbourne
445,-37.81503,145.63587,Yarra Junction,Shire of Yarra Ranges
446,-37.84019,144.99343,South Yarra,City of Stonnington
447,-37.80269,144.97485,Fitzroy,City of Yarra
448,-37.85173,144.95909,Middle Park,City of Port Phillip
449,-38.13759,145.12081,Frankston,City of Frankston
450,-37.74222,145.20208,Warrandyte,City of Manningham
451,-37.86424,144.97633,St Kilda,City of Port Phillip
452,-37.7744,144.94946,Brunswick West,City of Merri-bek
453,-37.86332,144.9895,St Kilda,City of Port Phillip
454,-37.79533,144.92932,Kensington,City of Melbourne
455,-37.85259,144.96612,Middle Park,City of Port Phillip
456,-38.1422,145.12079,Frankston,City of Frankston
457,-37.94684,145.00437,Sandringham,City of Bayside
458,-37.81061,144.96829,Melbourne,City of Melbourne
459,-37.78211,144.96989,Princes Hill,City of Yarra
460,-37.86686,144.97842,St Kilda,City of Port Phillip
461,-37.865307,145.357559,Sassafras,Shire of Yarra Ranges
462,-37.85665,145.36448,Olinda,Shire of Yarra Ranges
463,-37.75190735,145.6536865,Millgrove,Shire of Yarra Ranges
464,-37.79841,144.98145,Fitzroy,City of Yarra
465,-37.75636,144.95696,Brunswick,City of Merri-bek
466,-37.88044,144.99673,Ripponlea,City of Port Phillip
467,-38.06408,145.14491,Patterson Lakes,City of Kingston
468,-37.81742,145.01874,Hawthorn,City of Boroondara
469,-37.86013,144.97749,St Kilda,City of Port Phillip
470,-37.79908,144.98245,Fitzroy,City of Yarra
471,-37.74644,144.9634,Coburg,City of Merri-bek
472,-37.86684418,144.9772491,St Kilda,City of Port Phillip
473,-37.86826,144.97787,St Kilda,City of Port Phillip
474,-38.14421,145.13856,Frankston,City of Frankston
475,-37.82552,144.96239,Southbank,City of Melbourne
476,-37.84875,145.36744,Olinda,Shire of Yarra Ranges
477,-37.87434,144.98032,Elwood,City of Port Phillip
478,-37.80924,144.96678,Melbourne,City of Melbourne
479,-37.82489,144.96578,Southbank,City of Melbourne
480,-37.89568,145.07857,Hughesdale,City of Monash
481,-37.81552,144.97215,Melbourne,City of Melbourne
482,-38.0925,145.12609,Seaford,City of Frankston
483,-37.86337,144.98202,St Kilda,City of Port Phillip
484,-37.83294,145.05316,Hawthorn East,City of Boroondara
485,-37.85427,145.25689,Bayswater,City of Knox
486,-37.79352,145.08074,Balwyn North,City of Boroondara
487,-37.8333,144.96288,South Melbourne,City of Port Phillip
488,-37.81144,144.99179,Richmond,City of Yarra
489,-37.8123,144.99267,Richmond,City of Yarra
490,-37.8701,144.98324,St Kilda,City of Port Phillip
491,-37.80801,144.89835,Seddon,City of Maribyrnong
492,-37.82966,145.04639,Hawthorn East,City of Boroondara
493,-37.84198,144.99648,South Yarra,City of Stonnington
494,-37.8819,145.36136,Sherbrooke,Shire of Yarra Ranges
495,-37.80961,144.98706,East Melbourne,City of Melbourne
496,-37.79206,144.93435,Kensington,City of Melbourne
497,-37.83296,144.95808,South Melbourne,City of Port Phillip
498,-37.8254,144.96408,Southbank,City of Melbourne
499,-37.86474,144.97377,St Kilda,City of Port Phillip
500,-37.9264,145.07997,Bentleigh East,City of Glen Eira
501,-37.8421,144.98543,South Yarra,City of Melbourne
