ID,latitude,longitude,suburb,municipality
4293,-37.82187,145.2034,Mitcham,City of Whitehorse
4294,-37.903,144.77284,Point Cook,City of Wyndham
4295,-37.80866,144.96616,Melbourne,City of Melbourne
4296,-37.7497,144.94547,Pascoe Vale South,City of Merri-bek
4297,-37.81289,144.93991,Docklands,City of Melbourne
4298,-37.95049,145.04236,Highett,City of Bayside
4299,-38.10698,145.24972,Cranbourne West,City of Casey
4300,-37.81076,144.95224,West Melbourne,City of Melbourne
4301,-37.80994,145.00075,Abbotsford,City of Yarra
4302,-37.82870379,144.9559739,Southbank,City of Port Phillip
4303,-37.81449,145.0107,Richmond,City of Yarra
4304,-38.00672,145.27394,Hallam,City of Casey
4305,-37.81781009,145.0081497,Richmond,City of Yarra
4306,-37.82857,144.95627,Southbank,City of Melbourne
4307,-37.79628,144.93912,North Melbourne,City of Melbourne
4308,-37.7961,144.94146,North Melbourne,City of Melbourne
4309,-38.10635,145.24713,Cranbourne West,City of Casey
4310,-37.85643,144.96964,St Kilda West,City of Port Phillip
4311,-37.82256727,145.0126558,Richmond,City of Yarra
4312,-37.83607,144.99879,South Yarra,City of Stonnington
4313,-38.00624,145.27488,Hallam,City of Casey
4314,-37.86336,144.97545,St Kilda,City of Port Phillip
4315,-37.862759,145.014526,Caulfield North,City of Glen Eira
4316,-37.89377,144.76541,Point Cook,City of Wyndham
4317,-37.73279,144.80122,St Albans,City of Brimbank
4318,-37.86786,144.98808,St Kilda,City of Port Phillip
4319,-37.81728,144.95607,Melbourne,City of Melbourne
4320,-37.83619,144.9542,South Melbourne,City of Port Phillip
4321,-38.10625,145.2474,Cranbourne West,City of Casey
4322,-37.8151,144.95352,Melbourne,City of Melbourne
4323,-37.90573,144.998,Brighton,City of Bayside
4324,-37.80534,144.98337,Collingwood,City of Yarra
4325,-37.76414,145.04325,Ivanhoe,City of Banyule
4326,-37.90337,144.77296,Point Cook,City of Wyndham
4327,-37.79695,144.94101,North Melbourne,City of Melbourne
4328,-37.79746,144.94188,North Melbourne,City of Melbourne
4329,-37.79349,144.87368,West Footscray,City of Maribyrnong
4330,-37.82592,144.95638,Southbank,City of Melbourne
4331,-37.83251,144.94618,Port Melbourne,City of Port Phillip
4332,-37.58961,145.46874,Chum Creek,Shire of Yarra Ranges
4333,-37.87025,145.23414,Wantirna South,City of Knox
4334,-37.8449,144.71508,Truganina,City of Wyndham
4335,-37.82478,144.95839,Southbank,City of Melbourne
4336,-37.66456,145.06951,Mill Park,City of Whittlesea
4337,-37.64624,145.53728,Healesville,Shire of Yarra Ranges
4338,-37.82187,145.13817,Blackburn,City of Whitehorse
4339,-37.83728,144.99213,South Yarra,City of Stonnington
4340,-37.82879,145.1768,Nunawading,City of Whitehorse
4341,-37.816151,144.971115,Melbourne,City of Melbourne
4342,-37.8697,145.23538,Wantirna South,City of Knox
4343,-37.83934,144.99718,South Yarra,City of Stonnington
4344,-37.82376,144.96565,Southbank,City of Melbourne
4345,-37.91865,145.11616,Clayton,City of Monash
4346,-37.78786,144.92778,Flemington,City of Moonee Valley
4347,-37.76048,145.08913,Bulleen,City of Manningham
4348,-37.82207,145.02732,Hawthorn,City of Boroondara
4349,-37.64592,145.53751,Healesville,Shire of Yarra Ranges
4350,-37.827671,144.956696,Southbank,City of Melbourne
4351,-37.77432,144.94973,Brunswick,City of Merri-bek
4352,-37.78594,145.20613,Park Orchards,City of Manningham
4353,-37.81029,144.96199,Melbourne,City of Melbourne
4354,-37.80806,144.95916,Melbourne,City of Melbourne
4355,-37.87635,145.03763,Caulfield North,City of Glen Eira
4356,-37.76107,145.05672,Eaglemont,City of Banyule
4357,-37.81592,145.01266,Richmond,City of Yarra
4358,-37.86113,145.02017,Armadale,City of Stonnington
4359,-37.79379,144.87354,West Footscray,City of Maribyrnong
4360,-37.92114,144.63324,Werribee,City of Wyndham
4361,-37.84982,144.99104,Prahran,City of Stonnington
4362,-37.89532,144.76482,Point Cook,City of Wyndham
4363,-37.89903,144.98432,Brighton,City of Bayside
4364,-37.81567,144.98363,East Melbourne,City of Melbourne
4365,-37.81361,144.97497,East Melbourne,City of Melbourne
4366,-37.78822,144.99294,Clifton Hill,City of Yarra
4367,-37.81413,144.94496,Docklands,City of Melbourne
4368,-38.14173,145.134,Frankston,City of Frankston
4369,-37.82225,144.96119,Southbank,City of Melbourne
4370,-37.85211,144.99423,Windsor,City of Stonnington
4371,-37.81274,144.9862,East Melbourne,City of Melbourne
4372,-37.82043,144.94319,Docklands,City of Melbourne
4373,-37.752708,145.037842,Bellfield,City of Banyule
4374,-37.96058,145.05252,Cheltenham,City of Kingston
4375,-37.8474,144.9772,Melbourne,City of Port Phillip
4376,-37.72656,144.94145,Pascoe Vale,City of Merri-bek
4377,-37.80204,144.95178,North Melbourne,City of Melbourne
4378,-37.77204,144.77604,Deer Park,City of Brimbank
4379,-37.77407,144.88057,Maribyrnong,City of Maribyrnong
4380,-37.87545,145.09206,Chadstone,City of Monash
4381,-37.83963,144.99406,South Yarra,City of Stonnington
4382,-37.81357,144.97207,Melbourne,City of Melbourne
4383,-37.8532,145.69122,Three Bridges,Shire of Yarra Ranges
4384,-37.81396,144.9533,Melbourne,City of Melbourne
4385,-37.83787,144.99372,South Yarra,City of Stonnington
4386,-37.74679,144.94392,Pascoe Vale South,City of Merri-bek
4387,-37.82843,144.96921,Southbank,City of Melbourne
4388,-37.79194,144.8733,West Footscray,City of Maribyrnong
4389,-37.81521,144.95206,Docklands,City of Melbourne
4390,-37.85515,144.88443,Williamstown North,City of Hobsons Bay
4391,-37.84319,144.94423,Port Melbourne,City of Port Phillip
4392,-37.80809,144.96121,Melbourne,City of Melbourne
4393,-37.80261,144.95158,North Melbourne,City of Melbourne
4394,-37.80412,144.95354,North Melbourne,City of Melbourne
4395,-37.8024,144.95366,North Melbourne,City of Melbourne
4396,-37.79672,144.94041,North Melbourne,City of Melbourne
4397,-37.80859,144.95884,Melbourne,City of Melbourne
4398,-37.82294083,144.9613495,Southbank,City of Melbourne
4399,-37.69603,145.06572,Bundoora,City of Banyule
4400,-37.69634,145.06595,Bundoora,City of Banyule
4401,-37.69615,145.06558,Bundoora,City of Banyule
4402,-37.69602,145.06615,Bundoora,City of Banyule
4403,-37.80425,144.95695,North Melbourne,City of Melbourne
4404,-37.85142,145.1222,Burwood,City of Whitehorse
4405,-37.83313,144.98982,South Yarra,City of Stonnington
4406,-37.83969,144.98673,South Yarra,City of Stonnington
4407,-37.85076,145.12129,Burwood,City of Whitehorse
4408,-37.81884,144.95435,Melbourne,City of Melbourne
4409,-37.87627,144.73662,Point Cook,City of Wyndham
4410,-37.87188,144.98324,St Kilda,City of Port Phillip
4411,-37.8895,145.06094,Carnegie,City of Glen Eira
4412,-37.81643,144.95195,Docklands,City of Melbourne
4413,-37.69458,145.06586,Bundoora,City of Banyule
4414,-37.82394,145.0013,Richmond,City of Yarra
4415,-37.82324,144.96407,Southbank,City of Melbourne
4416,-38.13415,145.12222,Frankston,City of Frankston
4417,-37.79257,145.12024,Doncaster,City of Manningham
4418,-37.81245,144.92617,West Melbourne,City of Melbourne
4419,-37.96343,145.06415,Cheltenham,City of Kingston
4420,-37.90305,144.77125,Point Cook,City of Wyndham
4421,-37.8388,144.70832,Truganina,City of Wyndham
4422,-37.77612,144.94803,Brunswick West,City of Merri-bek
4423,-37.8118,144.95965,Melbourne,City of Melbourne
4424,-37.78583,145.20746,Park Orchards,City of Manningham
4425,-37.81114,144.96718,Melbourne,City of Melbourne
4426,-37.83596,145.06427,Camberwell,City of Boroondara
4427,-37.84443,144.99016,South Yarra,City of Stonnington
4428,-37.84271,144.99113,South Yarra,City of Stonnington
4429,-37.77626,144.94862,Brunswick West,City of Merri-bek
4430,-37.84456,144.97618,Melbourne,City of Port Phillip
4431,-37.78714,144.85793,Braybrook,City of Maribyrnong
4432,-37.79699,144.94267,North Melbourne,City of Melbourne
4433,-37.80167,144.89655,Footscray,City of Maribyrnong
4434,-37.84599,145.04469,Hawthorn East,City of Boroondara
4435,-37.84569,145.04266,Hawthorn East,City of Boroondara
4436,-37.86405,144.82168,Altona,City of Hobsons Bay
4437,-37.80291,144.9868,Collingwood,City of Yarra
4438,-37.84186,145.11512,Box Hill South,City of Whitehorse
4439,-37.81356,145.23105,Ringwood,City of Maroondah
4440,-37.75678,145.35712,Lilydale,Shire of Yarra Ranges
4441,-37.82046,144.94135,Docklands,City of Melbourne
4442,-37.8507,144.96216,Middle Park,City of Port Phillip
4443,-37.81402,145.23064,Ringwood,City of Maroondah
4444,-37.87309,145.15017,Glen Waverley,City of Monash
4445,-37.85725,145.00091,Windsor,City of Stonnington
4446,-37.95598,145.024,Sandringham,City of Bayside
4447,-37.9552,145.0256,Sandringham,City of Bayside
4448,-37.70646,145.09551,Greensborough,City of Banyule
4449,-37.57749,144.70031,Sunbury,City of Hume
4450,-37.86765,144.98053,St Kilda,City of Port Phillip
4451,-37.80666,144.96262,Melbourne,City of Melbourne
4452,-37.80163,144.95437,North Melbourne,City of Melbourne
4453,-37.78021,145.17041,Doncaster East,City of Manningham
4454,-37.9304,145.15465,Mulgrave,City of Monash
4455,-37.79145,144.86621,West Footscray,City of Maribyrnong
4456,-37.81959,145.12215,Box Hill,City of Whitehorse
4457,-37.83715,144.99381,South Yarra,City of Stonnington
4458,-37.85026,144.98812,Prahran,City of Stonnington
4459,-37.86308,145.30268,Boronia,City of Knox
4460,-38.08262,145.12934,Seaford,City of Frankston
4461,-37.82608,144.95642,Southbank,City of Melbourne
4462,-38.01042,145.15865,Keysborough,City of Greater Dandenong
4463,-37.81464,144.95263,Melbourne,City of Melbourne
4464,-37.81326,144.95119,Docklands,City of Melbourne
4465,-37.81315,144.95115,West Melbourne,City of Melbourne
4466,-37.81284,144.95238,West Melbourne,City of Melbourne
4467,-37.60962,144.98919,Wollert,City of Whittlesea
4468,-37.84894,145.16519,Forest Hill,City of Whitehorse
4469,-37.80901,144.99697,Abbotsford,City of Yarra
4470,-37.81503,144.95275,Melbourne,City of Melbourne
4471,-38.13163,145.13613,Frankston,City of Frankston
4472,-37.80184,144.96781,Carlton,City of Melbourne
4473,-37.83867,144.64636,Tarneit,City of Wyndham
4474,-37.80861,144.96798,Melbourne,City of Melbourne
4475,-37.80079,144.96769,Carlton,City of Melbourne
4476,-37.80039,144.96954,Carlton,City of Melbourne
4477,-37.88386,145.10972,Mount Waverley,City of Monash
4478,-37.7616,144.96977,Brunswick,City of Merri-bek
4479,-37.81136,144.95985,Melbourne,City of Melbourne
4480,-37.85297,145.00812,Prahran,City of Stonnington
4481,-37.80258,144.96815,Carlton,City of Melbourne
4482,-37.83677,145.00074,South Yarra,City of Stonnington
4483,-37.77059,144.94762,Brunswick West,City of Merri-bek
4484,-37.81771,144.97232,Melbourne,City of Melbourne
4485,-37.79274,144.94314,North Melbourne,City of Melbourne
4486,-37.82032,145.12404,Box Hill,City of Whitehorse
4487,-37.65857,145.08728,Mill Park,City of Whittlesea
4488,-37.80991,144.96284,Melbourne,City of Melbourne
4489,-37.81489,144.95421,Melbourne,City of Melbourne
4490,-37.66884,145.07003,Mill Park,City of Whittlesea
4491,-37.60975,144.93228,Craigieburn,City of Hume
4492,-37.78489,144.99867,Northcote,City of Darebin
4493,-37.81332,144.95129,Docklands,City of Melbourne
4494,-37.99654,145.31134,Narre Warren,City of Casey
4495,-37.80651,144.96177,Carlton,City of Melbourne
4496,-37.83715,144.99381,South Yarra,City of Stonnington
4497,-37.81385,144.95299,Melbourne,City of Melbourne
4498,-37.78989,144.99298,Clifton Hill,City of Yarra
4499,-37.71776,144.87795,Airport West,City of Moonee Valley
4500,-37.74743271,145.0094299,Preston,City of Darebin
4501,-37.83715,144.99381,South Yarra,City of Stonnington
4502,-37.74902,145.69622,Warburton,Shire of Yarra Ranges
4503,-37.81814,144.95388,Melbourne,City of Melbourne
4504,-37.81558,144.9543,Melbourne,City of Melbourne
4505,-37.77281,145.29786,Croydon,City of Maroondah
4506,-37.81891,144.96506,Melbourne,City of Melbourne
4507,-37.81897,145.22787,Ringwood,City of Maroondah
4508,-37.81675,144.95796,Melbourne,City of Melbourne
4509,-37.77858,144.97329,Brunswick East,City of Merri-bek
4510,-37.81856,144.95874,Melbourne,City of Melbourne
4511,-37.84061,144.94141,Port Melbourne,City of Port Phillip
4512,-37.92538,145.06051,Bentleigh East,City of Glen Eira
4513,-37.80964,144.95325,West Melbourne,City of Melbourne
4514,-37.70433,145.15067,Eltham,Shire of Nillumbik
4515,-37.83722,145.0122,Toorak,City of Stonnington
4516,-37.8240503,144.9637654,Southbank,City of Melbourne
4517,-37.8202,144.94132,Docklands,City of Melbourne
4518,-37.80164,144.96957,Carlton,City of Melbourne
4519,-37.83792,145.0584,Camberwell,City of Boroondara
4520,-37.81117,144.9532,West Melbourne,City of Melbourne
4521,-37.81006,144.95285,West Melbourne,City of Melbourne
4522,-37.72887,145.22142,North Warrandyte,Shire of Nillumbik
4523,-37.81965,145.12369,Box Hill,City of Whitehorse
4524,-37.81288,144.95063,West Melbourne,City of Melbourne
4525,-37.84193,144.94238,Port Melbourne,City of Port Phillip
4526,-37.82042,145.11728,Box Hill,City of Whitehorse
4527,-37.81359,145.21184,Mitcham,City of Whitehorse
4528,-37.59959,145.21939,Cottles Bridge,Shire of Nillumbik
4529,-37.74047,145.15424,Templestowe,City of Manningham
4530,-37.83532,145.11952,Box Hill South,City of Whitehorse
4531,-37.81546,144.95322,Melbourne,City of Melbourne
